Nama,Cabang,Area,Kota,Alamat,Latitude,Longitude,Tipe
Zuma Tanah Lot,Bali,Bali 1,Tabanan,"Jl. Tanah Lot, Desa Beraban, Kec. Kediri",-8.6211,115.0868,Toko
Zuma Dalung,Bali,Bali 2,Badung,"Jl. Raya Padang Luwih No. 208A, Dalung",-8.6362,115.1668,Toko
Zuma Mall Bali Galeria,Bali,Bali 3,Badung,"Jl. By Pass Ngurah Rai, Kuta",-8.7275,115.1893,Toko
Zuma Tabanan,Bali,Bali 1,Tabanan,"Jl. Dr. Ir. Soekarno No. 768, Banjar Anyar",-8.5430,115.1247,Toko
Zuma Panjer,Bali,Bali 3,Denpasar,"Jl. Tukad Barito No.80, Panjer",-8.6968,115.2252,Toko
Zuma Kesiman,Bali,Bali 3,Denpasar,"Jl. WR Supratman 108-172, Kesiman",-8.6593,115.2593,Toko
Zuma Penatih,Bali,Bali 1,Denpasar,"Jl. Trengguli No. 107, Penatih",-8.6413,115.2578,Toko
Zuma Peliatan,Bali,Bali 3,Gianyar,"Jl. Cok Gede Rai No. 13, Peliatan, Ubud",-8.5159,115.2784,Toko
Zuma Batubulan,Bali,Bali 1,Gianyar,"Jl. Raya Batubulan No. 10, Sukawati",-8.6013,115.2706,Toko
Zuma Monkey Forest,Bali,Bali 1,Gianyar,"Jl. Monkey Forest No. 15, Ubud",-8.5177,115.2588,Toko
Zuma Klungkung,Bali,Bali 2,Klungkung,"Jl. Flamboyan, Semarapura Kauh",-8.5391,115.4046,Toko
Zuma Singaraja,Bali,Bali 3,Buleleng,"Jl. Ahmad Yani Barat No. 202",-8.1121,115.0879,Toko
Zuma Karangasem,Bali,Bali 2,Karangasem,"Jl. Untung Surapati, Padang Kerta",-8.4515,115.6076,Toko
Zuma Bajra,Bali,Bali 1,Tabanan,"Jl. Bajera, Selemadeg",-8.4742,114.9892,Toko
Zuma Jembrana,Bali,Bali 1,Jembrana,"Jl. Ngurah Rai No. 113, Pendem",-8.3589,114.6319,Toko
Zuma Monang Maning,Bali,Bali 1,Denpasar,"Jl. Gunung Rinjani No. 7-8, Tegal Harum",-8.6516,115.2052,Toko
Zuma Pemogan,Bali,Bali 2,Denpasar,"Jl. Raya Pemogan No. 7",-8.7133,115.2154,Toko
Zuma Peguyangan,Bali,Bali 2,Denpasar,"Jl. Ahmad Yani Utara No. 105",-8.6233,115.2189,Toko
Zuma Level 21,Bali,Bali 1,Denpasar,"Jl. Teuku Umar No. 1, Dauh Puri Klod",-8.6674,115.2116,Toko
Zuma Kedonganan,Bali,Bali 3,Badung,"Jl. Uluwatu No. 59, Kedonganan",-8.7594,115.1668,Toko
Zuma Lippo Bali,Bali,Bali 2,Badung,"Jl. Sunset Road No. 10, Kuta",-8.7107,115.1756,Toko
Zuma Gianyar,Bali,Bali 2,Gianyar,"Jl. By Pass Dharma Giri No. 18B",-8.5414,115.3238,Toko
Zuma Seririt,Bali,Bali 3,Buleleng,"Jl. Sudirman, Tangguwisia",-8.1857,114.9406,Toko
Zuma Living World,Bali,Bali 2,Denpasar,"Jl. Gatot Subroto Timur, Tonja",-8.6332,115.2357,Toko
Zuma Uluwatu,Bali,Bali 3,Badung,"Jl Raya Uluwatu 88 blok C, Ungasan",-8.8233,115.1272,Toko
Zuma Kapal,Bali,Bali 1,Badung,"Jl. Raya Denpasar-Gilimanuk No.14",-8.5831,115.1579,Toko
Zuma Icon Bali,Bali,Bali 2,Denpasar,"Jl. Danau Tamblingan No.27, Sanur",-8.6988,115.2606,Toko
Zuma Lebah Peliatan,Bali,Bali 3,Gianyar,"Jl. Yudistira, Br Kalah No.1, Ubud",-8.5081,115.2819,Toko
Zuma Bangli,Bali,Bali 2,Bangli,"Jl. Tirta Geduh, Bebalang",-8.4545,115.3545,Toko
Zuma Matos,Jawa Timur,Jawa Timur,Malang,"Jl. Veteran No. 2, Klojen",-7.9786,112.6311,Toko
Zuma Lippo Batu,Jawa Timur,Jawa Timur,Batu,"Jl. Diponegoro No. 1, Sisir",-7.8746,112.5247,Toko
Zuma Lippo Sidoarjo,Jawa Timur,Jawa Timur,Sidoarjo,"Jl. Jati Raya No. 1",-7.4478,112.7183,Toko
Zuma Tunjungan Plaza,Jawa Timur,Jawa Timur,Surabaya,"Jl. Basuki Rachmat No. 8-12",-7.2614,112.7378,Toko
Zuma Galaxy Mall,Jawa Timur,Jawa Timur,Surabaya,"Jl. Dharmahusada Indah Timur",-7.2756,112.7814,Toko
Zuma PTC,Jawa Timur,Jawa Timur,Surabaya,"Jl. Raya Lontar No. 2, Wiyung",-7.3011,112.6947,Toko
Zuma Royal Plaza,Jawa Timur,Jawa Timur,Surabaya,"Jl. A Yani No. 16-18, Wonokromo",-7.3156,112.7378,Toko
Zuma MOG,Jawa Timur,Jawa Timur,Malang,"Jl. Kawi No.24, Kauman",-7.9811,112.6256,Toko
Zuma Sunrise Mall,Jawa Timur,Jawa Timur,Mojokerto,"Jl. Benteng Pancasila No.9",-7.4719,112.4336,Toko
Zuma CITO,Jawa Timur,Jawa Timur,Surabaya,"Jl. Ahmad Yani No.288, Gayungan",-7.3389,112.7306,Toko
Zuma Icon Gresik,Jawa Timur,Jawa Timur,Gresik,"Jl. Wahidin Sudirohusodo No.788",-7.1622,112.6508,Toko
Zuma Lippo Mall Puri,Jakarta,Jakarta,Jakarta Barat,"Jl. Puri Indah Raya, Kembangan",-6.1872,106.7347,Toko
Zuma MOI,Jakarta,Jakarta,Jakarta Utara,"Jl. Boulevard Bar. Raya, Kelapa Gading",-6.1486,106.8933,Toko
Zuma Pluit Village,Jakarta,Jakarta,Jakarta Utara,"Jl. Pluit Indah No. 12, Penjaringan",-6.1236,106.7972,Toko
Zuma Bintaro Exchange,Jakarta,Jakarta,Tangerang Selatan,"Jl. Sektor VII No.2, Pondok Aren",-6.2811,106.7167,Toko
Zuma Epicentrum,Lombok & Nusra,Lombok & Nusra,Mataram,"Lombok Epicentrum Mall, Jl. Sriwijaya",-8.5833,116.1167,Toko
Zuma Mataram,Lombok & Nusra,Lombok & Nusra,Mataram,"Jl. Caturwarga No 2, Pajang Timur",-8.5892,116.0956,Toko
Zuma SKA Mall,Pekanbaru,Pekanbaru,Pekanbaru,"Jl. Soekarno-Hatta No.114, Delima",0.4697,101.4083,Toko
Zuma Nagoya Hills,Batam & Kepri,Batam & Kepri,Batam,"Jl. Teuku Umar, Nagoya",1.1386,104.0167,Toko
Zuma K Square,Batam & Kepri,Batam & Kepri,Batam,"Jl. Sudirman No.25-35, Sukajadi",1.1253,104.0489,Toko
Zuma Mega Mall,Sulawesi,Sulawesi,Manado,"Jl. Piere Tendean Boulevard, Megamas",1.4689,124.8425,Toko
